Title,Author,Series,Status,Privacy,Hardcover Book ID,Hardcover Edition ID,ISBN 10,ISBN 13,ASIN,Media,Country Code,Language Code,Binding,Pages,Duration in Seconds,Publish Date,Publisher,Genres,Moods,Tags,Content Warnings,Lists,Date Added,Date Started,Date Finished,Rating,Review,Review Contains Spoilers,Sponsored Review,Review Date,Review URL,Review Media URL,Private Notes,Owned,Compilation,Review Slate
Ultra-Processed People: The Science Behind Food That Isn't Food,Chris van Tulleken,,Read,Public,765426,30766314,1324036729,9781324036722,,Book,us,en,,384,,2023-01-01,W. W. Norton,,,,,"",2025-01-13,2025-01-01,2025-01-12,4.0,,false,false,2025-01-13T10:29:24Z,,,,false,No,{}
We Solve Murders,Richard Osman,We Solve Murders (#1.0),Read,Public,1196066,31220878,0241608384,9780241608388,B0CQ256S11,Ebook,us,en,,438,,2024-09-12,Penguin,,,,,"",2025-01-13,2025-01-13,2025-01-23,3.0,,false,false,2025-01-13T10:29:46Z,,,,false,No,{}
The Turn of the Screw,Henry James,,Read,Public,592537,13369337,0312122608,9780312122607,,Book,us,en,,134,,1898-01-01,Diamond Pocket Books Pvt Ltd,,,,,"",2025-01-23,2025-01-23,2025-02-01,4.0,,false,false,2025-01-23T09:27:08Z,,,,false,No,{}
Dune,"Frank Herbert, Brian Herbert (Afterword)",Dune (#1.0),Read,Public,312460,30426415,0441172717,9788466363402,,Book,us,en,,704,,1965-06-01,Penguin,,,,,"",2025-01-23,2025-02-01,2025-03-20,3.5,,false,false,2025-01-23T09:28:25Z,,,,false,No,{}
Blood of the NightStalker: A Spine of Worlds Story.,P.J Danby,,Read,Public,1819856,31943104,1738576507,9781738576500,,Book,us,,,,,,,,,,,"",2025-03-25,2025-03-21,2025-03-27,4.0,,false,false,2025-03-25T20:54:27Z,,,,false,No,{}
Fourth Wing,Rebecca Yarros,The Empyrean (#1.0),Read,Public,714600,30706608,2755671475,9782755671476,,Book,us,fr,,517,,2023-05-02,Hugo Roman,,,,,"",2025-04-24,2025-04-20,2025-04-30,4.0,,false,false,2025-04-24T08:20:14Z,,,,false,No,{}
Death At The White Hart,Chris Chibnall,,Read,Public,1874673,32011822,0241665760,9780241665763,,Book,us,en,,368,,2025-01-01,Michael Joseph,,,,,"",2025-05-08,2025-04-30,2025-05-08,4.0,,false,false,2025-05-08T09:08:02Z,,,,false,No,{}
Iron Flame,Rebecca Yarros,The Empyrean (#2.0),Read,Public,747398,30763550,1649374178,9781649374172,,Book,us,en,,640,,2023-11-07,Entangled: Red Tower Books,,,,,"",2025-05-08,2025-05-08,2025-06-15,2.5,,false,false,2025-05-08T13:25:01Z,,,,false,No,{}
A Court of Thorns and Roses,Sarah J. Maas,A Court of Thorns and Roses (#1.0),Read,Public,428290,188878,1619634449,9781619634442,1619634449,Book,us,en,,419,,2020-06-02,Bloomsbury Publishing,,,,,"",2025-07-23,",2025-06-16",",2025-07-23",1.5,,false,false,,,,,false,No,{}
The Hallmarked Man,Robert Galbraith,Cormoran Strike (#8.0),Read,Public,1360139,32130856,3764509597,9780316586023,,Book,us,en,,912,,2025-01-01,Hachette UK,,,,,"",2025-09-17,2025-09-01,2025-09-17,2.0,,false,false,,,,,false,No,{}
A Court of Mist and Fury,Sarah J. Maas,A Court of Thorns and Roses (#2.0),Stopped,Public,428929,30412164,1635575583,9781635575583,,Book,us,en,,626,,2020-06-02,Bloomsbury Publishing,,,,,"",2025-09-17,2025-07-23,2025-09-17,0.5,,false,false,,,,,false,No,{}
