Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Owned Copies
48551621,Sixtine - Book I,Caroline Vermalle,"Vermalle, Caroline",,"=""""","=""""",0,Caroline Vermalle,Kindle Edition,,2019,2013,2020/07/01,2020/06/16,did-not-finish,did-not-finish (#9),did-not-finish,,,,1,0
53042050,Deeplight,Frances Hardinge,"Hardinge, Frances",,"=""""","=""""",0,Macmillan Children's Books,Kindle Edition,432,2019,2019,,2020/06/16,did-not-finish,did-not-finish (#10),did-not-finish,,,,0,0
50701814,Beyond the Moon,Catherine    Taylor,"Taylor, Catherine",,"=""1916093205""","=""9781916093201""",0,The Cameo Press Ltd,Kindle Edition,496,2020,2019,,2020/06/15,did-not-finish,did-not-finish (#11),did-not-finish,,,,0,0
518848,"Sabriel (Abhorsen, #1)",Garth Nix,"Nix, Garth",,"=""0064471837""","=""9780064471831""",0,Harper Collins,Mass Market Paperback,491,1996,1995,,2016/03/13,did-not-finish,did-not-finish (#7),did-not-finish,,,,0,0
9460487,"Miss Peregrine's Home for Peculiar Children (Miss Peregrine's Peculiar Children, #1)",Ransom Riggs,"Riggs, Ransom",,"=""1594744769""","=""9781594744761""",0,Quirk,Hardcover,352,2011,2011,,2016/03/16,did-not-finish,did-not-finish (#13),did-not-finish,,,,0,0
35458733,The Silent Companions,Laura  Purcell,"Purcell, Laura",,"=""014313163X""","=""9780143131632""",0,Penguin Books,Paperback,305,2018,2017,,2018/09/18,did-not-finish,did-not-finish (#12),did-not-finish,,,,0,0
87273,"The Tin Princess (Sally Lockhart, #4)",Philip Pullman,"Pullman, Philip",,"=""0439977797""","=""9780439977791""",0,Scholastic,Paperback,304,2004,1994,,2015/09/26,did-not-finish,did-not-finish (#4),did-not-finish,,,,0,0
45100,"Ship of Magic (Liveship Traders, #1)",Robin Hobb,"Hobb, Robin",,"=""000649885X""","=""9780006498858""",0,Voyager,Mass Market Paperback,880,1999,1998,,2016/01/28,did-not-finish,did-not-finish (#5),did-not-finish,,,,0,0
65118,"The Hostile Hospital (A Series of Unfortunate Events, #8)",Lemony Snicket,"Snicket, Lemony",Brett Helquist,"=""1405206128""","=""9781405206129""",0,Egmont,Kindle Edition,272,2003,2001,,2015/08/11,did-not-finish,did-not-finish (#3),did-not-finish,,,,0,0
22833921,The Mermaid's Sister,Carrie Anne Noble,"Noble, Carrie Anne",,"=""1477820884""","=""9781477820889""",0,Skyscape,Paperback,236,2015,2015,,2015/12/09,did-not-finish,did-not-finish (#8),did-not-finish,,,,0,0
127455,"The Lies of Locke Lamora (Gentleman Bastard, #1)",Scott Lynch,"Lynch, Scott",,"=""0553804677""","=""9780553804676""",0,Bantam Spectra,Hardcover,499,2006,2006,,2015/01/13,did-not-finish,did-not-finish (#14),did-not-finish,,,,0,0
